"artifact"	"year"	"metric"	"rows"	"distinct_values"	"min"	"max"	"nonzero_count"	"finding"	"delimiter"	"columns"	"path"
"output_smoke_days_unit"	"2015"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2016"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2017"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2018"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2019"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2020"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2021"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2022"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2023"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_unit"	"2024"	"smoke_missing_flag"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"output_smoke_days_nuts3_annual"	"2015"	"smoke_days"	"26"	"4"	"0"	"136.792321359103"	"4"	"VARIED"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"output_smoke_days_nuts3_annual"	"2016"	"smoke_days"	"26"	"4"	"0"	"119.116966013078"	"4"	"VARIED"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"output_smoke_days_nuts3_annual"	"2017"	"smoke_days"	"26"	"4"	"0"	"101.441610667052"	"4"	"VARIED"	"SEMICOLON"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
